!
! ASCII generated by Digitized Shape Editor/CATIA
!
! Without Scans
! Point Format           = 'X %f Y %f Z %f'
!
! Total number of points = 36322
!
X -25.814409 Y 18.790091 Z -27.288099
X -25.752159 Y 18.802490 Z -27.346270
X -25.689791 Y 18.815020 Z -27.404341
X -25.627310 Y 18.827660 Z -27.462299
X -25.564730 Y 18.840429 Z -27.520161
X -25.502020 Y 18.853300 Z -27.577921
X -25.439199 Y 18.866301 Z -27.635571
X -25.376270 Y 18.879410 Z -27.693119
X -25.313210 Y 18.892639 Z -27.750561
X -25.250031 Y 18.905991 Z -27.807890
X -25.186729 Y 18.919451 Z -27.865110
X -25.123310 Y 18.933029 Z -27.922220
X -25.059759 Y 18.946720 Z -27.979210
X -24.996090 Y 18.960529 Z -28.036091
X -24.932289 Y 18.974449 Z -28.092859
X -24.868361 Y 18.988489 Z -28.149509
X -24.804310 Y 19.002640 Z -28.206039
X -24.740141 Y 19.016920 Z -28.262449
X -24.675831 Y 19.031309 Z -28.318729
X -24.611401 Y 19.045839 Z -28.374901
X -24.546850 Y 19.060499 Z -28.430941
X -24.482201 Y 19.075291 Z -28.486860
X -24.417549 Y 19.090210 Z -28.542690
X -26.871031 Y 18.594061 Z -26.351669
X -26.810169 Y 18.604931 Z -26.411131
X -26.749201 Y 18.615730 Z -26.470381
X -26.688120 Y 18.626570 Z -26.529499
X -26.626949 Y 18.637529 Z -26.588530
X -26.565680 Y 18.648621 Z -26.647480
X -26.504330 Y 18.659821 Z -26.706341
X -26.442881 Y 18.671150 Z -26.765110
X -26.381330 Y 18.682600 Z -26.823799
X -26.319691 Y 18.694160 Z -26.882401
X -26.257950 Y 18.705860 Z -26.940910
X -26.196110 Y 18.717670 Z -26.999331
X -26.134171 Y 18.729601 Z -27.057659
X -26.072121 Y 18.741640 Z -27.115891
X -26.009970 Y 18.753811 Z -27.174030
X -25.947710 Y 18.766090 Z -27.232080
X -25.885349 Y 18.778490 Z -27.290039
X -25.822880 Y 18.791010 Z -27.347891
X -25.760290 Y 18.803640 Z -27.405661
X -25.697590 Y 18.816389 Z -27.463320
X -25.634781 Y 18.829250 Z -27.520889
X -25.571840 Y 18.842230 Z -27.578360
X -25.508789 Y 18.855320 Z -27.635740
X -25.445610 Y 18.868530 Z -27.693020
X -25.382311 Y 18.881840 Z -27.750200
X -25.318890 Y 18.895281 Z -27.807280
X -25.255341 Y 18.908819 Z -27.864269
X -25.191660 Y 18.922470 Z -27.921150
X -25.127850 Y 18.936230 Z -27.977921
X -25.063910 Y 18.950109 Z -28.034599
X -24.999840 Y 18.964090 Z -28.091160
X -24.935640 Y 18.978180 Z -28.147619
X -24.871300 Y 18.992390 Z -28.203970
X -24.806829 Y 19.006720 Z -28.260210
X -24.742241 Y 19.021151 Z -28.316330
X -24.677509 Y 19.035721 Z -28.372339
X -24.612650 Y 19.050400 Z -28.428240
X -24.547670 Y 19.065229 Z -28.484020
X -24.482590 Y 19.080170 Z -28.539690
X -24.417521 Y 19.095169 Z -28.595280
X -26.884630 Y 18.590691 Z -26.419781
X -26.823481 Y 18.601830 Z -26.478741
X -26.762220 Y 18.612909 Z -26.537479
X -26.700859 Y 18.624029 Z -26.596090
X -26.639410 Y 18.635269 Z -26.654610
X -26.577860 Y 18.646620 Z -26.713060
X -26.516220 Y 18.658091 Z -26.771420
X -26.454479 Y 18.669680 Z -26.829710
X -26.392639 Y 18.681391 Z -26.887911
X -26.330700 Y 18.693220 Z -26.946030
X -26.268660 Y 18.705160 Z -27.004070
X -26.206520 Y 18.717220 Z -27.062019
X -26.144270 Y 18.729401 Z -27.119890
X -26.081909 Y 18.741690 Z -27.177670
X -26.019449 Y 18.754089 Z -27.235371
X -25.956869 Y 18.766609 Z -27.292971
X -25.894190 Y 18.779240 Z -27.350491
X -25.831390 Y 18.791990 Z -27.407930
X -25.768471 Y 18.804840 Z -27.465269
X -25.705441 Y 18.817810 Z -27.522520
X -25.642281 Y 18.830891 Z -27.579679
X -25.579000 Y 18.844080 Z -27.636761
X -25.515591 Y 18.857380 Z -27.693741
X -25.452061 Y 18.870781 Z -27.750641
X -25.388399 Y 18.884300 Z -27.807440
X -25.324600 Y 18.897930 Z -27.864161
X -25.260679 Y 18.911659 Z -27.920780
X -25.196621 Y 18.925501 Z -27.977310
X -25.132420 Y 18.939449 Z -28.033751
X -25.068090 Y 18.953489 Z -28.090090
X -25.003611 Y 18.967649 Z -28.146330
X -24.939011 Y 18.981920 Z -28.202459
X -24.874260 Y 18.996300 Z -28.258499
X -24.809380 Y 19.010780 Z -28.314440
X -24.744360 Y 19.025379 Z -28.370270
X -24.679199 Y 19.040100 Z -28.426001
X -24.613920 Y 19.054951 Z -28.481621
X -24.548500 Y 19.069929 Z -28.537121
X -24.482990 Y 19.085030 Z -28.592529
X -24.417500 Y 19.100100 Z -28.647869
X -26.898319 Y 18.587450 Z -26.488291
X -26.836849 Y 18.598869 Z -26.546730
X -26.775311 Y 18.610229 Z -26.604950
X -26.713671 Y 18.621620 Z -26.663040
X -26.651939 Y 18.633110 Z -26.721050
X -26.590111 Y 18.644730 Z -26.778980
X -26.528179 Y 18.656469 Z -26.836840
X -26.466141 Y 18.668320 Z -26.894630
X -26.404011 Y 18.680290 Z -26.952339
X -26.341770 Y 18.692360 Z -27.009970
X -26.279430 Y 18.704559 Z -27.067520
X -26.216980 Y 18.716860 Z -27.125000
X -26.154421 Y 18.729280 Z -27.182400
X -26.091761 Y 18.741810 Z -27.239719
X -26.028980 Y 18.754450 Z -27.296949
X -25.966080 Y 18.767200 Z -27.354111
X -25.903070 Y 18.780060 Z -27.411190
X -25.839939 Y 18.793030 Z -27.468180
X -25.776690 Y 18.806101 Z -27.525089
X -25.713320 Y 18.819290 Z -27.581921
X -25.649820 Y 18.832581 Z -27.638660
X -25.586189 Y 18.845970 Z -27.695330
X -25.522430 Y 18.859480 Z -27.751909
X -25.458540 Y 18.873079 Z -27.808411
X -25.394510 Y 18.886801 Z -27.864830
X -25.330351 Y 18.900620 Z -27.921181
X -25.266041 Y 18.914530 Z -27.977430
X -25.201599 Y 18.928551 Z -28.033600
X -25.137011 Y 18.942680 Z -28.089689
X -25.072281 Y 18.956909 Z -28.145679
X -25.007410 Y 18.971230 Z -28.201580
X -24.942400 Y 18.985661 Z -28.257389
X -24.877239 Y 19.000191 Z -28.313110
X -24.811930 Y 19.014839 Z -28.368740
X -24.746490 Y 19.029591 Z -28.424271
X -24.680910 Y 19.044470 Z -28.479691
X -24.615191 Y 19.059481 Z -28.535021
X -24.549339 Y 19.074619 Z -28.590250
X -24.483400 Y 19.089861 Z -28.645380
X -24.417480 Y 19.105021 Z -28.700460
X -26.912069 Y 18.584351 Z -26.557180
X -26.850290 Y 18.596050 Z -26.615089
X -26.788460 Y 18.607670 Z -26.672779
X -26.726540 Y 18.619329 Z -26.730330
X -26.664530 Y 18.631090 Z -26.787809
X -26.602409 Y 18.642969 Z -26.845230
X -26.540190 Y 18.654961 Z -26.902571
X -26.477871 Y 18.667070 Z -26.959850
X -26.415430 Y 18.679291 Z -27.017059
X -26.352900 Y 18.691620 Z -27.074190
X -26.290251 Y 18.704050 Z -27.131250
X -26.227501 Y 18.716600 Z -27.188250
X -26.164631 Y 18.729259 Z -27.245171
X -26.101650 Y 18.742020 Z -27.302010
X -26.038549 Y 18.754890 Z -27.358780
X -25.975330 Y 18.767860 Z -27.415480
X -25.912001 Y 18.780951 Z -27.472099
X -25.848539 Y 18.794130 Z -27.528641
X -25.784950 Y 18.807421 Z -27.585110
X -25.721239 Y 18.820820 Z -27.641510
X -25.657391 Y 18.834320 Z -27.697830
X -25.593420 Y 18.847919 Z -27.754070
X -25.529301 Y 18.861620 Z -27.810240
X -25.465050 Y 18.875420 Z -27.866341
X -25.400650 Y 18.889320 Z -27.922371
X -25.336121 Y 18.903330 Z -27.978331
X -25.271429 Y 18.917431 Z -28.034201
X -25.206610 Y 18.931629 Z -28.090010
X -25.141630 Y 18.945930 Z -28.145729
X -25.076500 Y 18.960320 Z -28.201370
X -25.011230 Y 18.974810 Z -28.256920
X -24.945810 Y 18.989410 Z -28.312401
X -24.880230 Y 19.004089 Z -28.367790
X -24.814510 Y 19.018890 Z -28.423090
X -24.748640 Y 19.033800 Z -28.478310
X -24.682631 Y 19.048820 Z -28.533430
X -24.616480 Y 19.063980 Z -28.588461
X -24.550200 Y 19.079281 Z -28.643391
X -24.483820 Y 19.094660 Z -28.698240
X -24.417459 Y 19.109900 Z -28.753040
X -26.925900 Y 18.581390 Z -26.626419
X -26.863800 Y 18.593370 Z -26.683790
X -26.801670 Y 18.605249 Z -26.740931
X -26.739470 Y 18.617170 Z -26.797951
